account_id,customer_id,account_type,account_status,open_date,balance,credit_limit,interest_rate,branch_id,currency
A00000001,C000360,Investment,Active,2024-01-12,25873.64,,0.127,B031,EUR
A00000002,C000068,Investment,Active,2021-08-24,49930.49,4638.66,0.0718,B011,GBP
A00000003,C000497,Checking,Active,2023-06-17,42442.31,,0.076,B007,USD
A00000004,C000244,Savings,Active,2025-05-30,48707.5,,0.2293,B003,USD
A00000005,C000468,Checking,Active,2023-08-13,16622.41,,0.0218,B044,USD
A00000006,C000220,Savings,Active,2023-04-26,29383.8,,0.1437,B041,USD
A00000007,C000251,Investment,Active,2021-12-21,47758.18,24813.58,0.1374,B034,USD
A00000008,C000328,Investment,Active,2025-05-27,33801.68,,0.1985,B012,GBP
A00000009,C000484,Savings,Active,2022-03-20,3468.07,,0.202,B050,EUR
A00000010,C000451,Checking,Active,2025-05-12,27395.43,,0.1318,B046,USD
A00000011,C000265,Checking,Active,2024-02-06,45508.18,,0.1544,B018,USD
A00000012,C000062,Investment,Active,2021-11-23,35249.78,4237.67,0.1642,B027,USD
A00000013,C000103,Credit,Active,2021-10-18,40348.59,7811.01,0.1725,B046,USD
A00000014,C000306,Investment,Active,2021-10-08,-358.35,23214.23,0.1456,B014,USD
A00000015,C000076,Credit,Active,2025-05-03,41225.71,,0.2107,B003,EUR
A00000016,C000314,Checking,Active,2024-12-26,48255.26,,0.0368,B013,USD
A00000017,C000151,Savings,Active,2021-07-02,25304.32,,0.1295,B011,USD
A00000018,C000246,Savings,Active,2024-06-05,36573.71,,0.0385,B009,USD
A00000019,C000464,Savings,Active,2021-12-22,30590.58,,0.1511,B039,GBP
A00000020,C000026,Savings,Active,2021-11-25,4685.82,,0.2107,B043,USD
A00000021,C000392,Savings,Frozen,2024-11-03,13834.83,,0.0524,B003,USD
A00000022,C000293,Checking,Active,2021-07-31,40621.99,,0.0305,B050,USD
A00000023,C000253,Credit,Active,2022-09-15,19690.19,,0.0235,B007,EUR
A00000024,C000025,Checking,Active,2022-03-30,14134.68,4454.25,0.115,B004,USD
A00000025,C000444,Savings,Active,2021-01-02,18837.1,,0.1231,B006,USD
A00000026,C000018,Checking,Active,2025-03-06,42873.84,,0.0937,B020,USD
A00000027,C000399,Investment,Frozen,2022-03-11,11075.53,20151.1,0.2432,B006,EUR
A00000028,C000280,Credit,Active,2024-01-16,17671.21,10321.75,0.2166,B012,USD
A00000029,C000304,Checking,Active,2023-03-06,8792.02,21478.56,0.2433,B022,EUR
A00000030,C000048,Savings,Active,2023-07-13,25586.03,21891.8,0.2392,B047,USD
A00000031,C000079,Investment,Active,2022-07-28,21473.73,,0.1021,B030,USD
A00000032,C000286,Savings,Active,2024-01-05,7163.52,,0.1482,B021,USD
A00000033,C000456,Investment,Active,2023-12-04,40659.34,,0.0769,B025,USD
A00000034,C000040,Investment,Active,2020-10-28,14141.63,,0.1528,B004,USD
A00000035,C000174,Savings,Active,2022-01-29,37141.57,,0.0777,B014,USD
A00000036,C000131,Investment,Active,2023-11-27,43213.08,,0.0402,B027,GBP
A00000037,C000247,Investment,Active,2023-07-23,14510.73,,0.0128,B023,GBP
A00000038,C000172,Savings,Active,2024-05-24,14006.52,,0.1761,B024,USD
A00000039,C000219,Credit,Frozen,2021-03-17,6513.32,11797.48,0.0226,B018,USD
A00000040,C000043,Investment,Active,2020-11-25,31987.27,19017.57,0.1328,B032,GBP
A00000041,C000114,Checking,Active,2020-11-05,1365.76,,0.213,B016,EUR
A00000042,C000290,Credit,Active,2021-06-29,3688.15,,0.1634,B044,USD
A00000043,C000416,Savings,Active,2025-03-14,3762.8,18791.91,0.0613,B041,USD
A00000044,C000500,Checking,Active,2024-08-08,20210.52,,0.1375,B033,USD
A00000045,C000270,Credit,Inactive,2024-01-05,49287.86,,0.2379,B028,USD
A00000046,C000135,Investment,Active,2021-03-07,30259.4,,0.1953,B046,USD
A00000047,C000069,Credit,Active,2024-01-22,46020.75,,0.1655,B004,EUR
A00000048,C000435,Credit,Active,2024-11-28,26040.05,,0.0884,B033,USD
A00000049,C000254,Credit,Active,2020-09-01,34331.89,,0.1354,B042,EUR
A00000050,C000465,Investment,Inactive,2020-08-10,37911.05,19224.92,0.0357,B034,USD
A00000051,C000440,Investment,Frozen,2025-01-10,25644.36,,0.2227,B017,USD
A00000052,C000056,Savings,Active,2022-07-20,42673.35,,0.1091,B005,USD
A00000053,C000329,Savings,Active,2025-03-10,7725.0,,0.0353,B001,EUR
A00000054,C000373,Credit,Inactive,2022-04-01,31672.12,2769.74,0.1939,B032,USD
A00000055,C000029,Credit,Active,2023-04-06,8237.74,,0.069,B005,USD
A00000056,C000324,Checking,Active,2023-12-05,14899.96,,0.1997,B007,USD
A00000057,C000247,Savings,Active,2021-03-17,41394.66,,0.027,B004,USD
A00000058,C000253,Credit,Active,2024-12-28,-275.35,,0.1828,B010,EUR
A00000059,C000396,Credit,Active,2023-05-22,47974.38,,0.2098,B003,EUR
A00000060,C000487,Investment,Active,2022-11-01,22455.15,,0.1089,B030,USD
A00000061,C000283,Investment,Active,2020-11-04,34599.89,,0.2431,B007,GBP
A00000062,C000411,Savings,Active,2021-05-21,30090.49,,0.1093,B004,USD
A00000063,C000009,Investment,Active,2024-02-16,45517.26,,0.123,B004,USD
A00000064,C000353,Investment,Active,2024-09-24,25195.34,16113.27,0.1754,B026,USD
A00000065,C000444,Checking,Active,2022-11-08,18274.3,22849.79,0.1987,B030,USD
A00000066,C000256,Checking,Active,2025-01-15,4112.02,,0.1901,B009,EUR
A00000067,C000087,Investment,Active,2022-06-16,10127.05,,0.1574,B021,USD
A00000068,C000382,Checking,Active,2020-10-29,48290.81,22947.07,0.1411,B005,EUR
A00000069,C000290,Savings,Active,2021-01-25,36040.33,19789.57,0.2298,B028,USD
A00000070,C000462,Investment,Active,2021-09-19,1022.97,,0.0776,B020,USD
A00000071,C000406,Investment,Active,2022-07-14,8153.13,4643.41,0.0369,B025,USD
A00000072,C000070,Credit,Active,2025-01-04,18693.44,,0.045,B005,EUR
A00000073,C000249,Checking,Inactive,2021-05-18,6952.62,,0.2149,B039,USD
A00000074,C000168,Checking,Frozen,2024-02-04,35011.57,,0.0476,B046,USD
A00000075,C000266,Savings,Inactive,2022-06-24,41525.37,13596.99,0.0895,B030,GBP
A00000076,C000317,Credit,Active,2020-10-10,43886.87,24241.38,0.1662,B009,USD
A00000077,C000126,Credit,Active,2023-01-05,4883.8,,0.0869,B033,USD
A00000078,C000483,Checking,Active,2024-06-16,48046.25,4709.72,0.1061,B045,USD
A00000079,C000411,Savings,Active,2022-08-04,4399.2,,0.1179,B047,EUR
A00000080,C000237,Credit,Active,2025-05-21,44105.24,18893.45,0.1431,B032,GBP
A00000081,C000315,Checking,Active,2021-10-26,41537.76,11377.57,0.0175,B038,GBP
A00000082,C000214,Investment,Inactive,2021-09-10,37639.82,,0.1462,B003,USD
A00000083,C000486,Investment,Inactive,2024-03-03,14906.22,,0.0268,B041,USD
A00000084,C000406,Investment,Active,2025-02-16,20166.4,,0.1529,B017,GBP
A00000085,C000497,Credit,Active,2022-10-18,42283.9,,0.2282,B023,USD
A00000086,C000368,Checking,Active,2024-03-23,40576.36,,0.0367,B013,USD
A00000087,C000239,Savings,Active,2024-07-26,7900.17,,0.1214,B014,USD
A00000088,C000401,Savings,Active,2022-02-03,38143.03,,0.0869,B049,EUR
A00000089,C000324,Credit,Active,2025-08-01,42923.43,,0.1949,B019,GBP
A00000090,C000353,Credit,Active,2022-09-21,13031.99,22413.57,0.0172,B002,USD
A00000091,C000052,Credit,Active,2022-10-17,20201.56,,0.2242,B037,USD
A00000092,C000461,Savings,Active,2022-01-03,27209.72,,0.0616,B016,USD
A00000093,C000490,Credit,Active,2025-06-09,10136.52,,0.1335,B011,GBP
A00000094,C000397,Investment,Active,2025-04-17,38288.62,,0.0828,B041,USD
A00000095,C000003,Savings,Active,2021-04-29,30352.11,5844.03,0.2043,B030,USD
A00000096,C000038,Checking,Inactive,2022-02-13,33271.52,,0.0119,B020,EUR
A00000097,C000059,Checking,Active,2020-08-08,38373.73,10130.77,0.0469,B005,USD
A00000098,C000313,Credit,Active,2024-07-16,2738.83,,0.121,B047,GBP
A00000099,C000173,Checking,Active,2024-05-02,2274.47,15403.42,0.2213,B024,USD
A00000100,C000455,Investment,Active,2021-02-20,29880.65,,0.0429,B024,USD
A00000101,C000336,Checking,Active,2022-11-02,31867.59,,0.0808,B001,USD
A00000102,C000236,Investment,Active,2021-10-07,37250.76,,0.0906,B037,USD
A00000103,C000229,Investment,Active,2022-02-01,27234.05,,0.1363,B025,EUR
A00000104,C000479,Savings,Inactive,2022-11-20,40302.47,,0.0643,B042,USD
A00000105,C000159,Savings,Active,2023-06-12,2131.66,,0.2163,B033,EUR
A00000106,C000451,Investment,Frozen,2022-06-15,13092.38,24442.4,0.0546,B047,EUR
A00000107,C000069,Savings,Active,2021-09-27,18196.21,,0.0717,B025,EUR
A00000108,C000145,Savings,Active,2020-12-09,9290.69,,0.1315,B048,USD
A00000109,C000255,Credit,Active,2022-08-02,5852.57,,0.1528,B021,GBP
A00000110,C000447,Checking,Active,2025-06-29,13503.69,,0.0691,B038,USD
A00000111,C000450,Credit,Active,2021-09-04,24923.28,,0.2023,B011,USD
A00000112,C000171,Investment,Inactive,2023-12-31,27348.49,,0.0528,B019,USD
A00000113,C000355,Credit,Active,2021-11-25,32212.67,3930.86,0.0123,B020,USD
A00000114,C000313,Investment,Active,2025-07-28,37814.45,,0.1169,B021,EUR
A00000115,C000191,Savings,Active,2023-07-07,41647.09,9313.46,0.1788,B035,USD
A00000116,C000478,Savings,Frozen,2022-07-29,20986.94,19839.0,0.0669,B022,EUR
