product_id,product_name,category,brand,price,cost,weight_kg,dimensions,color,material,launch_date,is_active
P000001,Fundamental non-volatile process improvement,Beauty,"Fischer, Barnes and Miller",502.55,462.53,5.24,15x37x7,Azure,Cotton,2025-01-10,True
P000002,Open-source secondary architecture,Sports,"Quinn, Wilcox and Robinson",300.83,55.79,3.35,28x29x19,Fuchsia,Polyester,2024-01-02,False
P000003,Phased 4thgeneration frame,Clothing,Pugh-Morales,692.87,179.02,0.52,32x49x18,Coral,Wood,2023-01-01,True
P000004,Cross-group global solution,Electronics,Gomez and Sons,674.47,206.07,5.18,20x11x9,MediumVioletRed,Polyester,2023-01-31,False
P000005,Team-oriented maximized open architecture,Electronics,"Higgins, Campbell and Silva",134.97,121.82,6.49,33x34x6,DarkSeaGreen,Polyester,2022-11-25,True
P000006,Implemented neutral customer loyalty,Beauty,Brooks Ltd,455.42,188.63,4.49,14x46x9,LightSalmon,Polyester,2022-09-30,True
P000007,Vision-oriented bi-directional hierarchy,Home & Garden,"Rivera, Hicks and Alvarado",321.24,142.95,9.61,11x21x20,Teal,Polyester,2025-03-08,False
P000008,Inverse non-volatile protocol,Sports,Lee-Pineda,126.58,388.61,7.07,23x49x14,DarkKhaki,Leather,2024-04-25,False
P000009,Enterprise-wide holistic superstructure,Clothing,Kirk Ltd,131.41,427.15,4.58,38x15x15,LightGreen,Leather,2022-10-01,True
P000010,Focused composite alliance,Beauty,Thompson-May,74.29,273.37,8.92,20x50x10,AliceBlue,Wood,2025-03-25,True
P000011,Integrated high-level extranet,Electronics,"Moreno, King and Terry",985.28,397.07,2.44,41x11x16,Navy,Polyester,2024-01-22,True
P000012,Expanded upward-trending encoding,Home & Garden,Peterson-Watkins,805.63,278.07,6.16,15x14x14,Maroon,Cotton,2022-10-26,False
P000013,Multi-channeled upward-trending definition,Sports,"Smith, Vaughn and Miller",416.69,207.67,5.79,18x30x7,RoyalBlue,Cotton,2023-04-23,False
P000014,Visionary heuristic Graphical User Interface,Beauty,Martinez-Scott,522.19,68.53,8.31,45x50x10,DarkViolet,Metal,2024-07-16,False
P000015,Horizontal directional ability,Sports,"Hill, Chambers and Powell",911.61,32.43,1.33,19x29x10,RosyBrown,Metal,2024-04-10,True
P000016,Compatible full-range process improvement,Beauty,Hart-Parker,233.22,474.0,5.24,28x15x13,Olive,Metal,2025-04-08,True
P000017,Total multi-tasking challenge,Clothing,"King, Brady and Brock",628.77,309.14,1.02,20x47x9,HotPink,Metal,2022-11-10,True
P000018,Re-contextualized mobile capacity,Toys,"Griffith, Sanchez and Williamson",924.69,25.39,8.65,15x12x13,MediumBlue,Leather,2023-10-18,True
P000019,Self-enabling upward-trending support,Toys,"Young, Rice and Mitchell",576.42,310.96,0.4,50x44x14,Sienna,Leather,2025-02-09,True
P000020,Polarized tangible data-warehouse,Home & Garden,"Ramirez, Pruitt and Johnson",252.43,404.64,4.12,39x14x6,White,Metal,2023-09-14,False
P000021,Persistent 24hour circuit,Home & Garden,"Villarreal, Williams and Reed",489.41,105.99,6.11,30x30x16,MediumSeaGreen,Cotton,2022-09-26,True
P000022,Operative interactive strategy,Toys,Martinez-Thomas,376.83,283.02,3.26,39x17x13,LightSalmon,Cotton,2024-10-10,True
P000023,Profit-focused systematic projection,Clothing,"Gibson, Smith and Sanchez",105.84,148.65,3.9,49x36x12,Khaki,Metal,2025-01-21,True
P000024,Self-enabling national matrix,Sports,Elliott PLC,723.92,98.97,1.68,42x39x20,BlueViolet,Wood,2024-05-09,False
P000025,Cross-platform asynchronous productivity,Electronics,Porter PLC,99.15,199.65,4.63,25x23x16,FireBrick,Plastic,2025-03-14,True
P000026,Persistent interactive archive,Books,May-Carlson,499.95,441.76,6.58,40x28x5,SeaGreen,Plastic,2023-03-05,False
P000027,Customizable needs-based knowledge user,Clothing,"Doyle, Sampson and Rich",883.63,365.12,7.66,33x12x17,SlateGray,Plastic,2024-09-13,True
P000028,Seamless multi-state service-desk,Books,Macdonald-Peterson,557.69,41.4,5.09,45x27x8,SeaGreen,Metal,2023-03-04,True
P000029,Ergonomic asymmetric paradigm,Home & Garden,Crawford Inc,379.47,493.46,5.62,33x19x11,GreenYellow,Polyester,2024-05-23,False
P000030,Proactive non-volatile monitoring,Sports,Yang Inc,49.85,24.26,7.16,40x43x19,SpringGreen,Metal,2022-08-09,True
P000031,Programmable multimedia project,Books,Harmon-White,932.06,162.67,3.99,49x29x15,Gold,Polyester,2024-10-14,False
P000032,Re-engineered discrete capability,Beauty,Walsh-Smith,567.3,240.07,0.26,31x17x18,Fuchsia,Polyester,2022-12-16,True
P000033,Customizable tertiary conglomeration,Toys,Clark-Saunders,899.78,436.69,6.33,48x40x13,MediumSpringGreen,Leather,2025-06-05,True
P000034,Seamless maximized time-frame,Beauty,Stuart-White,60.84,242.82,5.29,49x34x9,LightSkyBlue,Leather,2023-11-10,True
P000035,Diverse web-enabled capability,Electronics,Riggs-Logan,576.84,351.76,1.99,38x30x18,SlateBlue,Metal,2023-01-14,False
P000036,Down-sized logistical access,Beauty,Moore PLC,211.85,253.4,6.15,40x13x9,HotPink,Polyester,2023-12-25,True
P000037,Monitored grid-enabled moderator,Sports,Diaz LLC,331.8,332.8,5.3,30x21x19,Black,Polyester,2023-06-24,True
P000038,Universal system-worthy conglomeration,Sports,Green PLC,360.74,387.13,7.24,26x49x20,LightGreen,Metal,2023-11-16,True
P000039,User-friendly optimizing pricing structure,Books,Rogers-Carter,562.51,116.31,9.73,29x28x11,GoldenRod,Leather,2023-08-29,False
P000040,Reduced content-based artificial intelligence,Books,"Harper, Murphy and Lindsey",485.01,282.44,9.35,27x28x8,PaleTurquoise,Polyester,2023-04-06,False
P000041,Switchable optimizing protocol,Home & Garden,Hayes LLC,820.19,477.53,8.07,28x12x14,Green,Leather,2025-03-07,True
P000042,Devolved radical synergy,Books,Graham Ltd,924.77,329.71,7.5,23x22x13,SeaShell,Polyester,2023-12-02,True
